id,address,clear_address,lat,lon
93446,"РОСТОВСКАЯ ОБЛАСТЬ, КРАСНОСУЛИНСКИЙ РАЙОН, КРАСНЫЙ СУЛИН ГОРОД, ОКТЯБРЬСКАЯ УЛИЦА, ДОМ 116",ростовская красносулинский красный сулин октябрьская 116,47.88776595,40.086103931325766
93447,"РОСТОВСКАЯ ОБЛАСТЬ, РОСТОВ-НА-ДОНУ ГОРОД, 13-Я ЛИНИЯ УЛИЦА, 3",ростовская ростов-на-дону 13-я линия 3,47.2289849,39.75885114437547
93448,"РОСТОВСКАЯ ОБЛАСТЬ, ОБЛИВСКИЙ РАЙОН, СРЕДНИЙ ЧИР ПОСЕЛОК, ПЕРВОМАЙСКАЯ УЛИЦА, 1",ростовская обливский средний чир первомайская 1,,
93449,"РОСТОВСКАЯ ОБЛАСТЬ, ЧЕРТКОВСКИЙ РАЙОН, СОХРАНОВКА СЕЛО, БЫСТРИЦКАЯ УЛИЦА, 13",ростовская чертковский сохрановка быстрицкая 13,49.50901785,40.502511911960575
93450,"РОСТОВСКАЯ ОБЛАСТЬ, ТАЦИНСКИЙ РАЙОН, МАСЛОВ ХУТОР, КЛУБНАЯ УЛИЦА, ДОМ 18",ростовская тацинский маслов клубная 18,48.3166849,41.1508289
93451,"РОСТОВСКАЯ ОБЛАСТЬ, ВОЛГОДОНСК ГОРОД, К.МАРКСА УЛИЦА, 36",ростовская волгодонск к.маркса 36,47.5312624,42.20494080978399
93452,"РОСТОВСКАЯ ОБЛАСТЬ, КРАСНОСУЛИНСКИЙ РАЙОН, КРАСНЫЙ СУЛИН ГОРОД, 50 ЛЕТ ОКТЯБРЯ УЛИЦА, ДОМ 8",ростовская красносулинский красный сулин 50 лет октября 8,47.901744,40.0801761
93454,"РОСТОВСКАЯ ОБЛАСТЬ, РОСТОВ-НА-ДОНУ ГОРОД, 40-ЛЕТИЯ ПОБЕДЫ ПРОСПЕКТ, 308, 2",ростовская ростов-на-дону 40-летия победы 308 2,47.23801125,39.83002229155147
93455,Ростовская область,ростовская ,61.0771764,41.9943256
93456,"РОСТОВСКАЯ ОБЛАСТЬ, НЕКЛИНОВСКИЙ РАЙОН, ПРИЮТ ХУТОР, КОСМИЧЕСКАЯ УЛИЦА, ДОМ 51",ростовская неклиновский приют космическая 51,47.4042171,39.1668159
93457,"РОСТОВСКАЯ ОБЛАСТЬ, АЗОВ ГОРОД, МАКАРОВСКОГО УЛИЦА, ДОМ 37",ростовская азов макаровского 37,47.105551,39.40437905
93458,"РОСТОВСКАЯ ОБЛАСТЬ, ВОЛГОДОНСК ГОРОД, МАРШАЛА КОШЕВОГО УЛИЦА, 20",ростовская волгодонск маршала кошевого 20,47.52210755,42.21481221465205
93459,"РОСТОВСКАЯ ОБЛАСТЬ, НОВОШАХТИНСК ГОРОД, РАЗИНА УЛИЦА, 1-Б",ростовская новошахтинск разина 1-б,47.7985579,39.879781
93460,Ростовская область,ростовская ,61.0771764,41.9943256
93461,"РОСТОВСКАЯ ОБЛАСТЬ, ТАЦИНСКИЙ РАЙОН, УГЛЕГОРСКИЙ ПОСЕЛОК, ОКТЯБРЬСКИЙ ПЕРЕУЛОК, 8",ростовская тацинский углегорский октябрьский 8,48.2414088,41.2545841
93462,"РОСТОВСКАЯ ОБЛАСТЬ, РОСТОВ-НА-ДОНУ ГОРОД, ВЕРХНЕНОЛЬНАЯ УЛИЦА, 12",ростовская ростов-на-дону верхненольная 12,47.23067275,39.74884147528864
93463,"РОСТОВСКАЯ ОБЛАСТЬ, ЗЕРНОГРАДСКИЙ РАЙОН, ЗЕРНОГРАД ГОРОД, СОЦИАЛИСТИЧЕСКАЯ УЛИЦА, ДОМ 33",ростовская зерноградский зерноград социалистическая 33,46.85048995,40.30439456279403
93464,"РОСТОВСКАЯ ОБЛАСТЬ, ТАЦИНСКИЙ РАЙОН, БЫСТРОГОРСКИЙ ПОСЕЛОК, ВОЛГОДОНСКАЯ УЛИЦА, 7",ростовская тацинский быстрогорский волгодонская 7,48.2038195,41.1441178
93465,"РОСТОВСКАЯ ОБЛАСТЬ, АЗОВ ГОРОД, КУЙБЫШЕВА УЛИЦА, ДОМ 63/30",ростовская азов куйбышева 63/30,47.1089784,39.3956775
93466,"РОСТОВСКАЯ ОБЛАСТЬ, РОСТОВ-НА-ДОНУ ГОРОД, МИХАИЛА НАГИБИНА ПРОСПЕКТ, 35, Г",ростовская ростов-на-дону михаила нагибина 35 г,,
93467,"РОСТОВСКАЯ ОБЛАСТЬ, ДУБОВСКИЙ РАЙОН, ДУБОВСКОЕ СЕЛО, ЛЕНИНА УЛИЦА, 110",ростовская дубовский дубовское ленина 110,47.4132171,42.77006025
93468,"РОСТОВСКАЯ ОБЛАСТЬ, НЕКЛИНОВСКИЙ РАЙОН, ПОКРОВСКОЕ СЕЛО, СХТ (СЕЛЬХОЗТЕХНИКИ) УЛИЦА, ДОМ 8 А",ростовская неклиновский покровское схт (сельхозтехники) 8 а,47.4078874,38.9221783
93469,"РОСТОВСКАЯ ОБЛАСТЬ, ЦИМЛЯНСКИЙ РАЙОН, ЦИМЛЯНСК ГОРОД, ЛЕНИНА УЛИЦА, 53",ростовская цимлянский цимлянск ленина 53,47.64622535,42.09695972613734
